2198192,1462,21,Asian Counseling and Referral Service,*Main Site - Asian Counseling and Referral Service,3639 MLK Jr Way S,,Seattle,98144,http://acrs.org,Chemical Abuse and Dependency Services,NULL,Chemical Abuse and Dependency Services,"Provides state-certified chemical dependency services for adults and youth including screening, assessment, treatment and support by multi-lingual/multi-cultural staff. Accepts Medicaid. Sliding scale fees.","Provides chemical dependency services for adults and youth by multi-lingual/multi-cultural staff. includes alcohol & drug information school, DUI assessments, outpatient treatment and intensive outpatient treatment. WILL ACCEPT YOUTH 13-17.",TEST,NULL,^Alcohol & Drugs;^Culturally Specific Agencies
2198504,3442,1,Vashon Youth & Family Services,*Main Site - Vashon Youth & Family Services,20110 Vashon Hwy SW,,Vashon,98070,http://vyfs.org,Counseling,http://www.vyfs.org,Counseling,"Offers counseling and case management for youth, families, individuals and couples. Home visits available on a case-by-case basis. Low-income payment options available.","Offers counseling and case management for Vashon youth, families, individuals and couples.",Offers youth and family counseling and case management for Vashon/Maury Island residents.,@&,^Counseling
2198505,3442,7,Vashon Youth & Family Services,*Main Site - Vashon Youth & Family Services,20110 Vashon Hwy SW,,Vashon,98070,http://vyfs.org,Chemical Dependency Services,http://www.vyfs.org,Chemical Dependency Services,Offers drug and alcohol abuse prevention programs in Vashon Island schools as well as chemical dependency drug assessments and licensed outpatient treatment for youth & adults. Offers sliding scale fees; accepts Medicaid.,"Offers empowerment and ""best self"" drug and alcohol abuse prevention programs in Vashon Island schools as well as chemical dependency drug assessments and licensed outpatient treatment for youth and adults.",Offers chemical dependency drug assessments and licensed outpatient treatment for Vashon/Maury Island youth ages 13-20.,@&,^Alcohol & Drugs
2199448,2606,1,Country Doctor Free Teen Clinic,*Main Site - Country Doctor Free Teen Clinic,500 19th Ave E,,Seattle,98112,http://countrydoctoryouthclinic.org,Youth Clinic,NULL,Youth Clinic,"Homeless youth clinic offers general health care services including physical exams, birth control, emergency contraception, anonymous HIV testing, STD screening and treatment and pregnancy testing for youth, 12-23. Walk in only. No fees.","Homeless youth clinic offers general health care services, including physical exams, birth control, emergency contraception, anonymous HIV testing, STD screening and treatment, pregnancy testing for youth, 12-23. Walk in only.","Homeless youth clinic offers general health care services, including physical exams, birth control, emergency contraception, anonymous HIV testing, STD screening and treatment, pregnancy testing for homeless and street-involved youth, 12-23. Walk in only.",Homeless Youth Clinic / Country Doctor,"^Health Concerns;^Homelessness & Runaways, Other Helpful Services"
2199476,913,1,Group Health Cooperative - Adolescent Center,*Main Site - Group Health Cooperative - Adolescent Center,13451 SE 36th St,,Bellevue,98006,http://ghc.org/provider/teencenter.jhtml,Mental Health Care,NULL,Mental Health Care,"Provides treatment for depression, family problems and stress management. Serves youth, ages 12-18. Low-income payment options available. Accepts Medicaid and private insurance.","Provides treatment for depression, family problems and stress management. Serves youth, ages 12-18.","Provides treatment for depression, family problems and stress management. Open to all teens, ages 12 through 18. Self-referrals and referrals from health professionals and schools are accepted.",&Youth Mental Health Care,^Counseling
2199477,913,2,Group Health Cooperative - Adolescent Center,*Main Site - Group Health Cooperative - Adolescent Center,13451 SE 36th St,,Bellevue,98006,http://ghc.org/provider/teencenter.jhtml,Eating Disorders,NULL,Eating Disorders,"Provides multi-disciplinary treatment for eating disorders; serves youth, ages 12-18. Self-referrals and referrals from health professionals and schools are accepted.","Provides multi-disciplinary treatment for eating disorders; serves youth, ages 12-18.","Provides multi-disciplinary treatment for eating disorders. Open to all youth, ages 12 through 18. Self-referrals and referrals from health professionals and schools are accepted.",&Eating Disorder Treatment,^Eating Disorders
2199591,1481,3,Eating Disorders Northwest,Eating Disorders Northwest - Support Groups - University Presbyterian Church,4540 15th Ave NE,University Presbyterian Church,Seattle,98115,eatingdisordersnw.org,Support Groups - Friends and Family Group,NULL,Support Groups - Friends and Family Group,Sponsors support groups for friends and family members of individuals struggling with eating disorders and/or food or weight preoccupation. Visit website for date and time of group.,Sponsors support groups for friends and family members of individuals struggling with eating disorders and/or food or weight preoccupation.,Sponsors support groups for friends and family members of individuals struggling with eating disorders and/or food or weight preoccupation.,&Friends & Families Support Groups,^Eating Disorders
2199592,1481,1,Eating Disorders Northwest,Eating Disorders Northwest - Support Groups - Children's Hospital,4800 Sand Point Way NE,"River Entrance, Rm# RC3905",Seattle,98105,eatingdisordersnw.org,Support Groups - Support for Adults,NULL,Support Groups - Support for Adults,Coordinates support groups for people struggling with eating disorders. Groups are for those ages 17 and older. Visit website for date and time of group.,"Sponsors structured discussion and open format support groups for individuals, ages 17 and older, with eating disorders and/or food or weight preoccupation.","Sponsors structured discussion and open format support groups for individuals, ages 17 and older, with eating disorders and/or food or weight preoccupation.",&Eating Disorder Support Group (Age 17+),^Eating Disorders
2200097,1990,1,New Horizons Ministries,*Main Site - New Horizons Ministries,2709 3rd Ave,,Seattle,98121,http://nhmin.org,Homeless Youth Outreach,NULL,Homeless Youth Outreach,"Offers crisis intervention, counseling, and support on the street for homeless and runaway youth. Primarily serves street-involved youth, ages 22 and younger. Outreaches in the downtown, Capitol Hill and Denny Regrade areas.","Offers crisis intervention, counseling, and support on the street for homeless and runaway youth. Primarily serves street-involved youth, ages 22 and younger. Outreaches in the downtown, Capitol Hill and Denny Regrade areas.","Provides counseling, case management and crisis intervention for homeless youth. Addresses personal and family conflicts, alcohol/drugs issues and other street involvement issues. Primarily serves street-involved youth, ages 22 and younger. Youth are approached on the street for services.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200098,1990,2,New Horizons Ministries,*Main Site - New Horizons Ministries,2709 3rd Ave,,Seattle,98121,http://nhmin.org,Homeless Youth Drop-In Center,NULL,Homeless Youth Drop-In Center,"Drop-in center is open weekday mornings and several evenings for street youth, ages 22 and younger; breakfast and hot dinner served four days each week. Offers mail, phone and message services.","Drop-in center is open weekday mornings and several evenings for street youth, ages 22 and younger; breakfast and hot dinner served four days each week.",NULL,@&,"^Homelessness & Runaways, Drop-In Centers"
2200099,1990,3,New Horizons Ministries,*Main Site - New Horizons Ministries,2709 3rd Ave,,Seattle,98121,http://nhmin.org,Referral and Advocacy,NULL,Referral and Advocacy,"Offers follow-up assistance with the juvenile justice system and social service agencies through case management and outreach work. Coordinates hospital, jail and juvenile detention visits. Primarily serves street youth, ages 22 and under.","Offers referral, advocacy, and follow-up services with courts, social services, housing, chemical dependency programs. Coordinates hospital, jail and juvenile detention visits.","Offers referral, advocacy, and follow-up services with courts and juvenile justice system, social services, housing, and chemical dependency programs. Primarily serves street-involved youth, ages 22 and younger.",NULL,"^Homelessness & Runaways, Other Helpful Services;^Legal Services & Youth Rights"
2200100,1990,5,New Horizons Ministries,*Main Site - New Horizons Ministries,2709 3rd Ave,,Seattle,98121,http://nhmin.org,Hot Meal Program,NULL,Hot Meal Program,"Provides free breakfasts and dinners for youth, ages 22 and younger; ID required.","Provides free breakfasts and dinners for youth, ages 22 and younger; ID required.","Provides free breakfasts and dinners for youth, ages 23 and younger; ID required.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200101,3175,1,Washington State Department of Services for the Blind,*Main Site - Washington State Department of Services for the Blind,3411 S Alaska St,,Seattle,98118,http://dsb.wa.gov,Information and Referral,NULL,Information and Referral,Provides information and referral to appropriate program and community resources related to blind and visually impaired children and adults.,Provides information and referral to appropriate program and community resources related to blind and visually impaired children and adults.,NULL,NULL,^People with Disabilities
2200501,1695,1,King County Department of Public Defense,*Main Site - King County Department of Public Defense - Seattle,516 3rd Ave,"KC Courthouse, Rm E-820",Seattle,98104,http://kingcounty.gov/courts/opd,Department of Public Defense,NULL,Department of Public Defense,Provides defense counsel for low-income individuals charged with a jailable offense.,Provides defense counsel for low-income individuals charged with a jailable offense.,NULL,NULL,^Legal Services & Youth Rights
2200502,1695,1,King County Department of Public Defense,King County Department of Public Defense - Kent,401 4th Ave N,"MRJC, Room 1-B (1101)",Kent,98032,http://kingcounty.gov/courts/opd,Department of Public Defense,NULL,Department of Public Defense,Provides defense counsel for low-income individuals charged with a jailable offense.,Provides defense counsel for low-income individuals charged with a jailable offense.,NULL,NULL,^Legal Services & Youth Rights
2200567,1603,1,Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,*Main Site - Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,401 Broadway,Suite 2075,Seattle,98104,http://HCSATS.org,Medical Services,http://www.HCSATS.org,Medical Services,Provides medical care in the Harborview emergency room if it has been less than 120 hours since the assault. Visits often covered by Victim's Compensation Fund.,Provides medical care in the Harborview emergency room if it has been less than 120 hours since the assault. Non-emergent appointments are scheduled by Center for Sexual Assault and Traumatic Stress in the center's medical clinics.,Provides medical care in the Harborview emergency room up to 120 hours after the assault. Non-emergent appointments are scheduled by Center for Sexual Assault and Traumatic Stress in the center's medical clinics. Medical care and crisis counseling is available after hours through Harborview Emergency Room.,&Sexual Assault Medical Services,^Rape & Sexual Assault
2200568,1603,2,Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,*Main Site - Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,401 Broadway,Suite 2075,Seattle,98104,http://HCSATS.org,Counseling Services,http://www.HCSATS.org,Counseling Services,"Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents and other trauma. Low-income payment options available.","Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents, disasters and other traumatic events.","Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents, disasters and other traumatic events. individual, family and group therapy. Legal advocacy to assist clients through the criminal justice system is also available. Crisis counseling is available after hours through Harborview emergency room.",&Sexual Assault Counseling Center,^Rape & Sexual Assault
2200571,1603,1,Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,Harborview Medical Center - Center for Sexual Assault & Traumatic Stress - Emergency Room Services,325 9th Ave,,Seattle,98104,http://HCSATS.org,Medical Services,http://www.HCSATS.org,Medical Services,Provides medical care in the Harborview emergency room if it has been less than 120 hours since the assault. Visits often covered by Victim's Compensation Fund.,Provides medical care in the Harborview emergency room if it has been less than 120 hours since the assault. Non-emergent appointments are scheduled by Center for Sexual Assault and Traumatic Stress in the center's medical clinics.,Provides medical care in the Harborview emergency room up to 120 hours after the assault. Non-emergent appointments are scheduled by Center for Sexual Assault and Traumatic Stress in the center's medical clinics. Medical care and crisis counseling is available after hours through Harborview Emergency Room.,&Sexual Assault Medical Services,^Rape & Sexual Assault
2200572,1603,2,Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,Harborview Medical Center - Center for Sexual Assault and Traumatic Stress - Redmond,16345 NE 87th St,"Together Center, C-1",Redmond,98052,http://HCSATS.org,Counseling Services,http://www.HCSATS.org,Counseling Services,"Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents and other trauma. Low-income payment options available.","Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents, disasters and other traumatic events.","Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents, disasters and other traumatic events. individual, family and group therapy. Legal advocacy to assist clients through the criminal justice system is also available. Crisis counseling is available after hours through Harborview emergency room.",&Sexual Assault Counseling Center,^Rape & Sexual Assault
2200574,1603,2,Harborview Medical Center - Center for Sexual Assault & Traumatic Stress,Harborview Medical Center - Center for Sexual Assault and Traumatic Stress - Shoreline,17018 15th Ave NE,Center for Human Services,Shoreline,98155,http://HCSATS.org,Counseling Services,http://www.HCSATS.org,Counseling Services,"Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents and other trauma. Low-income payment options available.","Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents, disasters and other traumatic events.","Provides evidence-based mental health assessments and counseling for adults, children and families who are affected by child abuse and neglect, sexual assault, crime, accidents, disasters and other traumatic events. individual, family and group therapy. Legal advocacy to assist clients through the criminal justice system is also available. Crisis counseling is available after hours through Harborview emergency room.",&Sexual Assault Counseling Center,^Rape & Sexual Assault
2200711,1936,1,Job Corps - DESI,*Main Site - Job Corps - DESI,1511 3rd Ave,Suite 321,Seattle,98101,http://jobcorps.dol.gov,Residential Training Program,http://jobcorps.dol.gov/,Residential Training Program,"Offers job training and placement services in residential centers, including GED preparation, food, housing, medical and dental care. Serves low-income youth, ages 16-24, who qualify for the program.","Offers job training and placement services in residential centers, including GED preparation, food, housing, medical and dental care.","Offers job and vocational training for low-income young adults ages 16 through 24. Students live in a residential center. While students are in the program, room, food, medical care, dental care and vocational and personal counseling are free. Job placement and GED assistance are available. Training is open-entry/open-exit and can be up to two years.",&Residential Job Training Program,^Employment & Job Training
2200792,1015,2,"Parents, Families and Friends of Lesbians and Gays - PFLAG","*Main Site - Parents, Families and Friends of Lesbians and Gays - PFLAG",,,,,http://pflagseattle.org,Helpline,NULL,Helpline,"Helpline offers support, resources and educational opportunities for the LGBTQI community and their parents, family, straight allies and friends. Also offers support for issues related to coming out and self-acceptance. Voicemail only.","Helpline offers support, resources and educational opportunities for the LGBTQI community as well as their parents, family members, straight allies and friends. Also offers support for issues related to coming out and self-acceptance.","Helpline offers support, resources and educational opportunities for parents, family members, straight allies and friends of LGBTQI individuals. Also serves people who need support with issues related to coming out and being gay. Voicemail only. Will respond to messages within 48 hours.",&LGBTQ Helpline,^Don't Map This Resource;^GLBTQ
2200968,2779,2,Teen Feed,*Main Site - Teen Feed,4740-B University Way NE,,Seattle,98105,http://teenfeed.org,Service Links for Youth (SLY),NULL,Service Links for Youth (SLY),"Offers case management services around a variety of issues for youth and young adults, ages 13 through 25.","Offers case management services around a variety of issues for youth and young adults, ages 13 through 25.","Offers case management services around a variety of issues for youth and young adults, ages 13 through 25, who are homeless or street involved.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200969,2779,3,Teen Feed,Teen Feed - University Lutheran Church,1604 50th St NE,,Seattle,98105,http://teenfeed.org,Teen Feed,NULL,Teen Feed,"Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults ages 13-25, served seven times a week at five different University District churches. Youth advocates are available to provide support and referrals to other services. Sometimes provides clothing, toiletries and books, depending on donations.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200970,2779,3,Teen Feed,Teen Feed - University Methodist Church,1415 NE 43rd St,,Seattle,98105,http://teenfeed.org,Teen Feed,NULL,Teen Feed,"Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults ages 13-25, served seven times a week at five different University District churches. Youth advocates are available to provide support and referrals to other services. Sometimes provides clothing, toiletries and books, depending on donations.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200971,2779,3,Teen Feed,Teen Feed - University Congregational United Church,4515 16th Ave NE,,Seattle,98105,http://teenfeed.org,Teen Feed,NULL,Teen Feed,"Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults ages 13-25, served seven times a week at five different University District churches. Youth advocates are available to provide support and referrals to other services. Sometimes provides clothing, toiletries and books, depending on donations.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200975,2779,3,Teen Feed,Teen Feed - The Hillel House,4745 17th Ave NE,,Seattle,98105,http://teenfeed.org,Teen Feed,NULL,Teen Feed,"Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults ages 13-25, served seven times a week at five different University District churches. Youth advocates are available to provide support and referrals to other services. Sometimes provides clothing, toiletries and books, depending on donations.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200976,2779,3,Teen Feed,Teen Feed - Auburn Youth Resources,915 H St SE,,Auburn,98002,http://teenfeed.org,Teen Feed,NULL,Teen Feed,"Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults ages 13-25, served seven times a week at five different University District churches. Youth advocates are available to provide support and referrals to other services. Sometimes provides clothing, toiletries and books, depending on donations.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200977,2779,3,Teen Feed,Teen Feed - Rainier Beach,8825 Rainier Ave S,Rainier Beach Community Center,Seattle,98118,http://teenfeed.org,Teen Feed,NULL,Teen Feed,"Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults, ages 13-25, served throughout the week at six locations in Seattle and Auburn. Youth advocates provide support and referrals to other services. Sometimes has toiletries available.","Offers a free dinner for youth and young adults ages 13-25, served seven times a week at five different University District churches. Youth advocates are available to provide support and referrals to other services. Sometimes provides clothing, toiletries and books, depending on donations.",@&,"^Homelessness & Runaways, Other Helpful Services"
2200992,2569,1,Planned Parenthood of the Great Northwest,*Main Site - Planned Parenthood of the Great Northwest - Capitol Hill and Administration,2001 E Madison St,,Seattle,98122,http://ppgnw.org,Pregnancy Testing and Contraception,NULL,Pregnancy Testing and Contraception,"Provides pregnancy testing and emergency contraception to walk-in clients. Offers additional birth control methods by appointment. If pregnant, provides pregnancy options education. Sliding scale fees. Accepts Medicaid and insurance.","Provides pregnancy testing and emergency contraception to walk-in clients. Offers additional birth control methods by appointment. If pregnant, provides pregnancy options education.","Provides pregnancy testing and emergency contraception to walk-in clients. Offers additional birth control methods by appointment. If pregnant, provides pregnancy options education. Washington state law says parental consent is not required at any age for family planning services such as birth control. Call or visit website for locations.",@&,^Birth Control/Family Planning/Pregnancy
2200993,2569,3,Planned Parenthood of the Great Northwest,*Main Site - Planned Parenthood of the Great Northwest - Capitol Hill and Administration,2001 E Madison St,,Seattle,98122,http://ppgnw.org,Comprehensive Abortion Services,NULL,Comprehensive Abortion Services,Provides medication abortions up to nine weeks after patient's start of last menstrual period. Provides in-clinic abortions up to 13 weeks after period. Sliding scale fees. Accepts Medicaid and insurance.,Provides medication abortions up to nine weeks after patient's start of last menstrual period. Provides in-clinic abortions up to 13 weeks after period. Sliding scale fees. Accepts Medicaid and insurance.,Provides medication abortions up to nine weeks after patient's start of last menstrual period. Provides in-clinic abortions up to 13 weeks after period. Sliding scale fees. Accepts Medicaid and insurance. Washington state law says parental consent is not required at any age for family planning services. Call or visit website for locations.,@&,^Birth Control/Family Planning/Pregnancy
2200995,2569,6,Planned Parenthood of the Great Northwest,*Main Site - Planned Parenthood of the Great Northwest - Capitol Hill and Administration,2001 E Madison St,,Seattle,98122,http://ppgnw.org,STD Testing & Treatment,NULL,STD Testing & Treatment,"Offers confidential and anonymous HIV testing. First time HIV tests are supplemented with a mandatory education session. Also provides diagnosis, testing and treatment for other STDs. Sliding scale fees. Accepts Medicaid and insurance.","Offers confidential and anonymous HIV testing. First time HIV tests are supplemented with a mandatory education session. Also provides diagnosis, testing and treatment for other STDs as well as safer sex education.","Offers confidential and anonymous HIV testing. First time HIV tests are supplemented with a mandatory education session. Also provides diagnosis, testing and treatment for other STDs as well as safer sex education. Washington state law says parental consent is not required at any age for family planning services such as birth control, pregnancy testing, and STD testing and treatment services. Call or visit website for locations.",&STD Testing & Treatment,^STIs (including HIV/AIDS)
2200996,2569,1,Planned Parenthood of the Great Northwest,Planned Parenthood of the Great Northwest - Kent Valley,10056 SE 240th St,Suite A,Kent,98031,http://ppgnw.org,Pregnancy Testing and Contraception,NULL,Pregnancy Testing and Contraception,"Provides pregnancy testing and emergency contraception to walk-in clients. Offers additional birth control methods by appointment. If pregnant, provides pregnancy options education. Sliding scale fees. Accepts Medicaid and insurance.","Provides pregnancy testing and emergency contraception to walk-in clients. Offers additional birth control methods by appointment. If pregnant, provides pregnancy options education.","Provides pregnancy testing and emergency contraception to walk-in clients. Offers additional birth control methods by appointment. If pregnant, provides pregnancy options education. Washington state law says parental consent is not required at any age for family planning services such as birth control. Call or visit website for locations.",@&,^Birth Control/Family Planning/Pregnancy
